RK,PLAYER,TEAM,AB,R,H,2B,PW,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
1,Russell Martin,TOR,202,40,56,12,12,35,3,3,24,46,0.277,0.359,0.557,0.864,2.5
2,Jose Abreu,CHW,233,33,66,9,14,40,0,0,14,47,0.283,0.34,0.546,0.833,1.4
3,Brett Lawrie,OAK,237,20,67,12,6,29,3,0,10,68,0.283,0.319,0.46099999999999997,0.728,1.1
4,Anthony Gose,DET,201,28,57,11,4,11,11,5,12,56,0.284,0.324,0.435,0.707,1.1
5,Manny Machado,BAL,249,42,71,12,14,33,9,1,24,47,0.285,0.344,0.55,0.842,3.0
6,Jose Altuve,HOU,254,28,73,11,5,28,17,6,16,27,0.287,0.328,0.442,0.718,1.6
7,Xander Bogaerts,BOS,226,26,65,9,6,26,4,1,13,35,0.288,0.328,0.446,0.722,1.6
8,Mike Trout,LAA,246,48,73,14,18,39,8,3,31,62,0.297,0.381,0.625,0.954,3.8
9,Adam Jones,BAL,239,35,72,10,13,33,3,1,12,36,0.301,0.342,0.546,0.836,2.3
10,Yoenis Cespedes,DET,252,36,76,19,10,35,3,4,14,58,0.302,0.335,0.544,0.827,2.8
11,Michael Brantley,CLE,212,26,64,20,4,34,7,1,29,16,0.302,0.381,0.505,0.834,1.6
12,Josh Reddick,OAK,228,32,69,10,13,41,3,1,24,23,0.303,0.369,0.556,0.873,2.5
13,Josh Donaldson,TOR,266,54,81,16,17,45,3,0,23,54,0.305,0.361,0.6080000000000001,0.918,3.9
14,Dustin Pedroia,BOS,264,31,81,11,9,27,1,1,26,36,0.307,0.369,0.503,0.82,1.8
15,Nelson Cruz,SEA,246,34,76,7,19,41,1,2,22,68,0.309,0.368,0.617,0.933,2.4
16,Jason Kipnis,CLE,255,44,85,19,9,28,10,5,29,40,0.333,0.408,0.55,0.906,4.0
17,Miguel Cabrera,DET,234,38,80,13,16,51,1,1,43,46,0.342,0.446,0.65,0.999,3.4
18,Prince Fielder,TEX,256,34,88,14,11,47,0,0,21,32,0.344,0.406,0.5790000000000001,0.933,1.5
